Ign,Team,ACS,Matches,Rnd,K_D,KAST,ADR,KPR,APR,FKPR,FDPR,HSPercent,CLPercent,KMax,K,D,A,FK,FD,Kill_Participation
russ,Giants Gaming,0.8064516129032259,12,265,0.6770833333333336,0.6333333333333333,0.828886844526219,0.7499999999999999,0.35416666666666663,0.7142857142857143,0.56,0.763157894736842,0.2765957446808511,28,223,199,65,46,37,0.7230260216399894
Alfajer,Surreal Esports,0.7935483870967742,24,528,0.90625,0.7000000000000002,0.8252069917203313,0.8333333333333334,0.27083333333333326,0.5714285714285715,0.48,0.763157894736842,0.38297872340425526,34,468,350,109,73,63,0.7317427832830677
Muj,Futbolist,0.7806451612903226,3,67,0.84375,0.8333333333333335,0.7709291628334869,0.8166666666666668,0.5208333333333333,0.7619047619047619,0.4,0.4736842105263157,0.3617021276595745,24,59,46,22,12,7,0.900190988187027
qw1,Futbolist,0.7741935483870969,19,395,0.7499999999999998,0.5999999999999996,0.7644894204231831,0.7666666666666667,0.2083333333333333,0.8095238095238095,0.52,0.5263157894736842,0.2765957446808511,25,336,283,72,74,50,0.64488571599976
hype,Alliance,0.7677419354838709,23,483,0.90625,0.5666666666666664,0.7828886844526219,0.7666666666666667,0.2291666666666666,0.4285714285714286,0.36,0.5,0.3191489361702128,28,409,306,94,55,42,0.6572076182626357
Polvi,TENSTAR,0.7612903225806452,24,468,0.7187499999999999,0.5999999999999996,0.7782888684452622,0.7499999999999999,0.2291666666666666,0.7619047619047619,0.72,0.4473684210526315,0.23404255319148942,28,392,337,89,83,85,0.6374407582938387
VPNCNP,Thunderbolts Gaming,0.7612903225806452,23,481,0.6979166666666666,0.7000000000000002,0.7856485740570378,0.7333333333333333,0.3125,0.4285714285714286,0.28,0.5,0.25531914893617025,24,400,351,112,55,36,0.6906228138455629
MiniBoo,Arctic Gaming,0.7548387096774193,12,275,0.6770833333333336,0.5,0.7276908923643055,0.7333333333333333,0.08333333333333329,1.0,0.76,0.5789473684210528,0.574468085106383,28,229,205,33,63,53,0.5285997414907367
Fit1nho,Giants Gaming,0.7483870967741936,12,265,0.7916666666666665,0.5999999999999996,0.7598896044158234,0.7333333333333333,0.18749999999999997,0.6666666666666666,0.48,0.5,0.10638297872340426,28,221,180,45,42,33,0.6026289904319057
Maru,Dsyre,0.7419354838709676,14,311,0.7916666666666665,0.6333333333333333,0.796688132474701,0.7499999999999999,0.12499999999999997,0.2857142857142857,0.28,0.7105263157894737,0.425531914893617,30,260,212,44,25,21,0.5645144084972799
siJk,H2O (ex),0.7419354838709676,9,190,0.5208333333333334,0.2999999999999998,0.6862925482980682,0.7000000000000001,0.12499999999999997,0.8095238095238095,0.64,0.2894736842105263,0.08510638297872343,28,153,157,27,37,31,0.520828136692442
Filu,UCAM Tokiers,0.7419354838709676,14,308,0.6041666666666669,0.5,0.7166513339466423,0.7166666666666667,0.16666666666666666,0.8095238095238095,0.72,0.5789473684210528,0.3404255319148936,24,253,242,49,59,55,0.5689050286206686
Luzuh,MOUZ,0.7354838709677419,19,417,0.8229166666666665,0.6666666666666665,0.6936522539098438,0.7666666666666667,0.10416666666666666,0.8095238095238095,0.64,0.39473684210526316,0.17021276595744683,38,353,280,53,80,67,0.5589007467012174
yetujey,Fire Flux Esports,0.7225806451612903,2,44,0.8854166666666667,0.3666666666666667,0.7433302667893287,0.7499999999999999,0.2083333333333333,0.5714285714285715,0.28,0.5263157894736842,0.21276595744680848,19,37,28,8,6,3,0.6301163291684618
Yacine,Tundra Esports,0.7161290322580646,25,533,0.5833333333333334,0.5666666666666664,0.7479300827966884,0.6333333333333334,0.3125,0.9523809523809524,0.76,0.42105263157894746,0.12765957446808512,23,410,399,122,115,99,0.5944355032321741
vo0kashu,Rebels Gaming,0.7096774193548386,22,454,0.8541666666666667,0.8333333333333335,0.7819687212511501,0.65,0.39583333333333337,0.23809523809523814,0.32,0.4736842105263157,0.21276595744680848,33,355,276,123,34,35,0.6738209073637179
xuss,Anonymo Esports,0.7032258064516129,28,595,0.6458333333333334,0.5666666666666664,0.7258509659613617,0.7166666666666667,0.24999999999999997,0.5238095238095238,0.56,0.5263157894736842,0.19148936170212766,27,490,449,120,79,83,0.6337169939065673
Haxtrax,Gamerland Outlaws,0.7032258064516129,8,177,0.8958333333333333,0.733333333333333,0.8086476540938365,0.7166666666666667,0.41666666666666663,0.23809523809523814,0.28,0.631578947368421,0.3617021276595745,34,145,109,49,13,13,0.73644469435296
juseu,Team BDS,0.7032258064516129,23,515,0.7916666666666665,0.5999999999999996,0.6899724011039561,0.7666666666666667,0.10416666666666666,0.7619047619047619,0.68,0.5789473684210528,0.6595744680851064,32,439,358,67,95,86,0.5718124511112134
elllement,EXCEL,0.7032258064516129,29,591,0.8125,0.6333333333333333,0.7617295308187675,0.7499999999999999,0.16666666666666666,0.7142857142857143,0.56,0.5526315789473685,0.46808510638297873,27,497,399,95,99,83,0.599610267760483
Sacake,KOI,0.7032258064516129,14,320,0.6041666666666669,0.7000000000000002,0.7930082796688134,0.5833333333333334,0.7499999999999999,0.2857142857142857,0.36,0.42105263157894746,0.25531914893617025,21,236,224,142,27,28,0.8600118483412321
jannyXD,Rebels Gaming,0.7032258064516129,22,454,0.7604166666666665,0.7666666666666666,0.6862925482980682,0.7333333333333333,0.1458333333333333,0.7619047619047619,0.6,0.5263157894736842,0.4042553191489362,28,378,315,70,80,66,0.5779902707894023
Katu,AWARIA,0.6967741935483872,28,588,0.7291666666666666,0.6666666666666665,0.7470101195952161,0.7166666666666667,0.33333333333333326,0.47619047619047616,0.4,0.631578947368421,0.10638297872340426,28,485,416,144,70,58,0.6982783634780926
ALIVE,Team Finest,0.6967741935483872,19,411,0.7187499999999999,0.5333333333333332,0.7111315547378108,0.7166666666666667,0.1458333333333333,0.9047619047619048,0.56,0.4736842105263157,0.2765957446808511,32,338,291,60,88,57,0.5512851558446051
Theow,Anorthosis Famagusta Esports,0.6967741935483872,21,432,0.5416666666666666,0.5333333333333332,0.7184912603495861,0.6166666666666668,0.27083333333333326,0.8095238095238095,0.68,0.39473684210526316,0.2765957446808511,27,328,332,92,81,72,0.556872037914692
mikee,WYLDE,0.6903225806451613,14,292,0.6874999999999999,0.5666666666666664,0.8169273229070839,0.7000000000000001,0.29166666666666663,0.14285714285714288,0.28,0.6052631578947368,0.38297872340425526,32,236,209,63,16,20,0.6319223527884178
Goaster,Sector One France,0.6838709677419356,23,521,0.6874999999999999,0.5999999999999996,0.738730450781969,0.6833333333333335,0.2083333333333333,0.8095238095238095,0.72,0.4736842105263157,0.14893617021276595,35,417,368,93,98,92,0.5665371915110388
